"Equipment_ID","Facility_Code","Type","Library_ID","Model","Manufacturer","Serial_Number","Power_Source","RefrigerAnt","CFC_Free","Gross_Refr_Volume","Net_Refr_Volume","Gross_Freezer_Volume","Net_Freezer_Volume","Year","Condition","Status","No_Monitor","Dial_Thermometer","Stem_Thermometer","Fridge_Tag","No_Spare_Parts","No_Finance","No_Fuel","Need_to_Board_Off","Days_Above_8","Days_Below_2"
"R-000063","02-30","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,1999,"Working_well","In_use",,,,,,,,,,
"R-000071","02-33","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,1999,"Working_well","In_use",,,,,,,,,,
"R-000077","02-35","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,1999,"Working_but_needs_maintenance","In_use",,,,,,,,,,
"R-000085","02-39","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,1999,"Working_but_needs_maintenance","In_use",,,,,,,,,,
"R-000087","02-39","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,1999,"Working_but_needs_maintenance","In_use",,,,,,,,,,
"R-000088","02-39","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,1999,"Working_but_needs_maintenance","In_use",,,,,,,,,,
"R-000089","02-40","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,1999,"Working_but_needs_maintenance","In_use",,,,,,,,,,
"R-000091","02-41","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,1999,"Working_but_needs_maintenance","In_use",,,,,,,,,,
"R-000096","02-44","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,1999,"Working_but_needs_maintenance","In_use",,,,,,,,,,
"R-000098","02-45","CREK","E391M","RCW_50_EK","DOMETIC",,"EK","NH3","Yes",70,24,2.4,0,1999,"Working_but_needs_maintenance","In_use",,,,,,,,,,
"R-000196","03-1","CFAC","E397M","MF_214","Vestfrost",,"E","R134A","Yes",0,0,213,192,2009,"Working_well","In_use",,,,,,,,,,
